Id,Geography,key,order,value
0400000US01,Alabama,Total,1,1837292
0400000US01,Alabama,<10000,2,10.2
0400000US01,Alabama,10000 to 14999,3,7.2
0400000US01,Alabama,15000 to 24999,4,13
0400000US01,Alabama,25000 to 34999,5,11.5
0400000US01,Alabama,35000 to 49999,6,14.3
0400000US01,Alabama,75000 to 99999,7,10.8
0400000US01,Alabama,50000 to 74999,8,17.4
0400000US01,Alabama,100000 to 149999,9,10
0400000US01,Alabama,150000 to 199999,10,3.1
0400000US01,Alabama,200000+,11,2.5
0400000US02,Alaska,Total,1,250875
0400000US02,Alaska,<10000,2,3.7
0400000US02,Alaska,10000 to 14999,3,3.7
0400000US02,Alaska,15000 to 24999,4,7.7
0400000US02,Alaska,25000 to 34999,5,7.5
0400000US02,Alaska,35000 to 49999,6,12
0400000US02,Alaska,75000 to 99999,7,15.2
0400000US02,Alaska,50000 to 74999,8,18.7
0400000US02,Alaska,100000 to 149999,9,18.2
0400000US02,Alaska,150000 to 199999,10,7.7
0400000US02,Alaska,200000+,11,5.6
0400000US04,Arizona,Total,1,2381501
0400000US04,Arizona,<10000,2,7.9
0400000US04,Arizona,10000 to 14999,3,5.5
0400000US04,Arizona,15000 to 24999,4,11.6
0400000US04,Arizona,25000 to 34999,5,11.3
0400000US04,Arizona,35000 to 49999,6,14.8
0400000US04,Arizona,75000 to 99999,7,11.5
0400000US04,Arizona,50000 to 74999,8,18.5
0400000US04,Arizona,100000 to 149999,9,11.5
0400000US04,Arizona,150000 to 199999,10,3.9
0400000US04,Arizona,200000+,11,3.4
0400000US05,Arkansas,Total,1,1130417
0400000US05,Arkansas,<10000,2,9.7
0400000US05,Arkansas,10000 to 14999,3,7.8
0400000US05,Arkansas,15000 to 24999,4,14.3
0400000US05,Arkansas,25000 to 34999,5,12.4
0400000US05,Arkansas,35000 to 49999,6,15.1
0400000US05,Arkansas,75000 to 99999,7,9.8
0400000US05,Arkansas,50000 to 74999,8,17.6
0400000US05,Arkansas,100000 to 149999,9,8.8
0400000US05,Arkansas,150000 to 199999,10,2.5
0400000US05,Arkansas,200000+,11,2.1
0400000US06,California,Total,1,12581722
0400000US06,California,<10000,2,6.1
0400000US06,California,10000 to 14999,3,5.3
0400000US06,California,15000 to 24999,4,9.9
0400000US06,California,25000 to 34999,5,9.2
0400000US06,California,35000 to 49999,6,12.4
0400000US06,California,75000 to 99999,7,11.9
0400000US06,California,50000 to 74999,8,16.9
0400000US06,California,100000 to 149999,9,14.6
0400000US06,California,150000 to 199999,10,6.5
0400000US06,California,200000+,11,7.2
0400000US08,Colorado,Total,1,1989371
0400000US08,Colorado,<10000,2,6.2
0400000US08,Colorado,10000 to 14999,3,4.4
0400000US08,Colorado,15000 to 24999,4,9.6
0400000US08,Colorado,25000 to 34999,5,9.7
0400000US08,Colorado,35000 to 49999,6,13.4
0400000US08,Colorado,75000 to 99999,7,13
0400000US08,Colorado,50000 to 74999,8,18.5
0400000US08,Colorado,100000 to 149999,9,14.2
0400000US08,Colorado,150000 to 199999,10,5.7
0400000US08,Colorado,200000+,11,5.3
0400000US09,Connecticut,Total,1,1348275
0400000US09,Connecticut,<10000,2,5.9
0400000US09,Connecticut,10000 to 14999,3,4.2
0400000US09,Connecticut,15000 to 24999,4,8.5
0400000US09,Connecticut,25000 to 34999,5,8
0400000US09,Connecticut,35000 to 49999,6,10.9
0400000US09,Connecticut,75000 to 99999,7,12.8
